MatchID,AttackPoints,DefensePoints,Outcome
1692,19,4,lose
1692,23,6,win
1693,10,8,win
1693,11,10,lose
1698,17,8,win
1698,12,4,lose
1704,14,10,win
1704,11,8,lose
1711,17,8,win
1711,13,3,lose
1719,21,6,lose
1719,19,9,win
1730,14,6,lose
1730,16,6,lose
1740,16,10,win
1740,16,10,lose
1743,16,10,win
1743,13,8,lose
1747,15,16,win
1747,10,8,lose
1750,18,11,win
1750,17,7,lose
1757,14,11,lose
1757,20,9,win
1763,15,5,lose
1763,17,13,win
1764,29,8,win
1764,20,3,lose
1775,16,10,win
1775,16,5,lose
1778,16,7,lose
1778,18,11,win
1789,16,12,lose
1789,16,10,lose
1792,22,6,lose
1792,20,7,win
1797,18,10,lose
1797,28,13,win
1799,22,8,win
1799,21,6,lose
1691,8,5,lose
1691,17,14,win
1697,11,10,win
1697,11,8,lose
1701,17,11,win
1701,10,7,lose
1708,24,6,lose
1708,24,8,win
1716,14,10,win
1716,10,10,lose
1722,11,10,lose
1722,10,10,lose
1725,14,6,lose
1725,15,7,win
1730,14,6,lose
1730,16,6,lose
1737,18,11,win
1737,16,5,lose
1744,21,5,lose
1744,18,7,win
1748,18,10,win
1748,14,6,lose
1753,11,14,win
1753,12,9,lose
1762,14,8,lose
1762,14,8,lose
1765,18,9,win
1765,16,12,lose
1769,14,9,win
1769,15,6,lose
1772,18,12,win
1772,19,6,lose
1781,23,11,win
1781,21,5,lose
1787,20,8,lose
1787,20,10,win
1790,22,7,lose
1790,19,8,win
1799,22,8,win
1799,21,6,lose
1690,11,9,lose
1690,12,13,win
1698,17,8,win
1698,12,4,lose
1702,10,9,lose
1702,14,14,win
1709,12,9,lose
1709,17,10,win
1714,15,5,lose
1714,13,11,win
1720,15,9,lose
1720,15,11,win
1724,13,10,lose
1724,17,12,win
1731,20,3,lose
1731,21,10,win
1733,12,8,lose
1733,12,7,win
1744,21,5,lose
1744,18,7,win
1746,15,6,lose
1746,15,14,win
1755,14,7,lose
1755,18,13,win
1763,15,5,lose
1763,17,13,win
1768,12,12,lose
1768,13,10,lose
1774,15,7,lose
1774,16,14,win
1781,23,11,win
1781,21,5,lose
1788,19,5,lose
1788,19,8,win
1795,14,6,lose
1795,15,10,win
1798,17,10,win
1798,15,11,lose
1685,14,9,lose
1685,13,10,win
1689,14,4,lose
1689,21,11,win
1696,12,10,win
1696,8,8,lose
1699,12,4,lose
1699,14,6,win
1703,8,9,lose
1703,11,13,win
1706,9,10,win
1706,9,6,lose
1716,14,10,win
1716,10,10,lose
1727,16,5,win
1727,16,7,lose
1733,12,8,lose
1733,12,7,win
1739,12,6,lose
1739,11,10,win
1747,15,16,win
1747,10,8,lose
1752,17,15,win
1752,10,3,lose
1759,10,10,lose
1759,17,11,lose
1771,11,7,lose
1771,16,15,win
1769,14,9,win
1769,15,6,lose
1779,16,10,win
1779,16,7,lose
1786,11,10,win
1786,11,5,lose
1793,19,7,lose
1793,15,10,win
1800,16,9,lose
1800,20,6,win
1686,14,10,win
1686,17,11,lose
1687,9,4,lose
1687,15,17,win
1699,12,4,lose
1699,14,6,win
1708,24,6,lose
1708,24,8,win
1715,12,9,lose
1715,18,13,win
1720,15,9,lose
1720,15,11,win
1723,13,14,win
1723,17,10,lose
1729,12,6,lose
1729,16,9,win
1735,10,16,win
1735,13,6,lose
1740,16,10,win
1740,16,10,lose
1742,11,10,lose
1742,16,16,win
1751,9,10,lose
1751,10,13,win
1754,17,7,win
1754,12,10,lose
1758,21,10,win
1758,14,11,lose
1761,18,7,win
1761,21,8,lose
1772,18,12,win
1772,19,6,lose
1783,16,14,win
1783,22,7,lose
1789,16,12,lose
1789,16,10,lose
1793,19,7,lose
1793,15,10,win
1691,8,5,lose
1691,17,14,win
